"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US150030020062","Block Group 2; Census Tract 20.06; Honolulu County; Hawaii","1438","257",
"1500000US150030021011","Block Group 1; Census Tract 21.01; Honolulu County; Hawaii","270","104",
"1500000US150030021012","Block Group 2; Census Tract 21.01; Honolulu County; Hawaii","645","238",
"1500000US150030021013","Block Group 3; Census Tract 21.01; Honolulu County; Hawaii","809","187",
"1500000US150030021021","Block Group 1; Census Tract 21.02; Honolulu County; Hawaii","340","159",
"1500000US150030021022","Block Group 2; Census Tract 21.02; Honolulu County; Hawaii","1171","229",
"1500000US150030022031","Block Group 1; Census Tract 22.03; Honolulu County; Hawaii","1537","266",
"1500000US150030022041","Block Group 1; Census Tract 22.04; Honolulu County; Hawaii","1124","155",
"1500000US150030022051","Block Group 1; Census Tract 22.05; Honolulu County; Hawaii","1866","468",
"1500000US150030022061","Block Group 1; Census Tract 22.06; Honolulu County; Hawaii","967","272",
"1500000US150030022062","Block Group 2; Census Tract 22.06; Honolulu County; Hawaii","1022","253",
"1500000US150030023011","Block Group 1; Census Tract 23.01; Honolulu County; Hawaii","792","235",
"1500000US150030023012","Block Group 2; Census Tract 23.01; Honolulu County; Hawaii","1377","504",
"1500000US150030023013","Block Group 3; Census Tract 23.01; Honolulu County; Hawaii","1113","304",
"1500000US150030023021","Block Group 1; Census Tract 23.02; Honolulu County; Hawaii","1178","246",
"1500000US150030023022","Block Group 2; Census Tract 23.02; Honolulu County; Hawaii","753","272",
"1500000US150030024011","Block Group 1; Census Tract 24.01; Honolulu County; Hawaii","847","281",
"1500000US150030024012","Block Group 2; Census Tract 24.01; Honolulu County; Hawaii","768","201",
"1500000US150030024013","Block Group 3; Census Tract 24.01; Honolulu County; Hawaii","529","151",
"1500000US150030024014","Block Group 4; Census Tract 24.01; Honolulu County; Hawaii","642","691",
"1500000US150030024031","Block Group 1; Census Tract 24.03; Honolulu County; Hawaii","903","327",
"1500000US150030024032","Block Group 2; Census Tract 24.03; Honolulu County; Hawaii","795","243",
"1500000US150030024041","Block Group 1; Census Tract 24.04; Honolulu County; Hawaii","566","209",
"1500000US150030024042","Block Group 2; Census Tract 24.04; Honolulu County; Hawaii","818","151",
"1500000US150030025001","Block Group 1; Census Tract 25; Honolulu County; Hawaii","2350","518",
"1500000US150030025002","Block Group 2; Census Tract 25; Honolulu County; Hawaii","851","245",
"1500000US150030025003","Block Group 3; Census Tract 25; Honolulu County; Hawaii","518","191",
"1500000US150030026001","Block Group 1; Census Tract 26; Honolulu County; Hawaii","832","209",
"1500000US150030026002","Block Group 2; Census Tract 26; Honolulu County; Hawaii","649","177",
"1500000US150030026003","Block Group 3; Census Tract 26; Honolulu County; Hawaii","653","218",
"1500000US150030026004","Block Group 4; Census Tract 26; Honolulu County; Hawaii","1669","710",
"1500000US150030027011","Block Group 1; Census Tract 27.01; Honolulu County; Hawaii","974","259",
"1500000US150030027012","Block Group 2; Census Tract 27.01; Honolulu County; Hawaii","1131","271",
"1500000US150030027013","Block Group 3; Census Tract 27.01; Honolulu County; Hawaii","2315","260",
"1500000US150030027021","Block Group 1; Census Tract 27.02; Honolulu County; Hawaii","912","322",
"1500000US150030027022","Block Group 2; Census Tract 27.02; Honolulu County; Hawaii","1019","340",
"1500000US150030027023","Block Group 3; Census Tract 27.02; Honolulu County; Hawaii","1611","287",
"1500000US150030027024","Block Group 4; Census Tract 27.02; Honolulu County; Hawaii","1234","512",
"1500000US150030028011","Block Group 1; Census Tract 28.01; Honolulu County; Hawaii","1633","330",
"1500000US150030028021","Block Group 1; Census Tract 28.02; Honolulu County; Hawaii","787","225",
"1500000US150030028022","Block Group 2; Census Tract 28.02; Honolulu County; Hawaii","1636","306",
"1500000US150030029001","Block Group 1; Census Tract 29; Honolulu County; Hawaii","2412","286",
"1500000US150030030001","Block Group 1; Census Tract 30; Honolulu County; Hawaii","794","265",
"1500000US150030030002","Block Group 2; Census Tract 30; Honolulu County; Hawaii","1192","294",
"1500000US150030030003","Block Group 3; Census Tract 30; Honolulu County; Hawaii","1363","344",
"1500000US150030030004","Block Group 4; Census Tract 30; Honolulu County; Hawaii","1026","242",
